Ethnicity,Population,Count,Rate
Asian or Asian British,4143400,68419,1651.3
Black or Black British,1846600,49282,2668.8
Mixed,1192900,19678,1649.6
Other,548400,32785,5978.1
White,45281100,1350028,2981.4
