Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note,Recent Trend
E39000031,East,E38000168,Southend,16.81,,,21131.27,125720,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000185,Thurrock,17.88,,,20614.24,115289,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000197,West Essex,15.75,,,32885.76,208781,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000203,West Norfolk,15.02,,,18520.18,123294,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000204,West Suffolk,14.5,,,23254.32,160346,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000016,Bolton,19.44,,,39260.51,201914,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000024,Bury,19.88,,,26839.83,135000,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000032,Central Manchester,22.41,,,31221.75,139337,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000080,"Heywood, Middleton And Rochdale",20.95,,,32014.6,152811,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000123,North Manchester,22.81,,,28849.54,126457,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000135,Oldham,20.57,,,32975.76,160309,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000143,Salford,20.74,,,36356.93,175283,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000158,South Manchester,23.18,,,28326.89,122178,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000174,Stockport,20,,,41008.05,205038,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000182,Tameside And Glossop,19.73,,,36775.31,186405,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000187,Trafford,19.26,,,31485.4,163501,Persons,16-74 yrs,Value estimated,
E39000037,Greater Manchester,E38000205,Wigan Borough,19.16,,,45389.06,236881,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000014,Blackburn With Darwen,18.79,,,19666.1,104662,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000015,Blackpool,21.25,,,21950.53,103298,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000034,Chorley And South Ribble,16.55,,,20603.42,124460,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000050,East Lancashire,17.87,,,48101.05,269214,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000060,Fylde & Wyre,16.4,,,19415.23,118405,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000065,Greater Preston,17.04,,,25440.02,149313,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000093,Lancashire North,15.45,,,18235.86,118014,Persons,16-74 yrs,Value estimated,
E39000038,Lancashire,E38000200,West Lancashire,17.07,,,13907.86,81462,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000004,Barking And Dagenham,15.68,,,20417,130199,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000005,Barnet,15.11,,,39761.32,263165,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000011,Bexley,14.79,,,24735.05,167256,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000020,Brent,16.04,,,37678.44,234954,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000023,Bromley,14.9,,,33613.37,225550,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000027,Camden,20.79,,,36676.85,176440,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000031,Central London (Westminster),21.55,,,27629.39,128231,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000035,City And Hackney,16.96,,,33610.8,198185,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000040,Croydon,15.86,,,42244.53,266318,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000048,Ealing,16,,,40484.19,253084,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000057,Enfield,15.55,,,35258.43,226718,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000066,Greenwich,16.12,,,30791.74,191025,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000070,Hammersmith And Fulham,19.51,,,27803.2,142497,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000072,Haringey,17.57,,,34493.27,196328,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000074,Harrow,13.7,,,24232.34,176851,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000077,Havering,14.29,,,24653.11,172512,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000082,Hillingdon,14.13,,,28963.51,204991,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000084,Hounslow,14.3,,,27620.28,193101,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000088,Islington,18.37,,,31031.18,168940,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000090,Kingston,15.58,,,19043.88,122270,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000092,Lambeth,18.12,,,44167.83,243737,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000098,Lewisham,17.92,,,37756.71,210665,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000105,Merton,16.08,,,24228.98,150672,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000113,Newham,14.86,,,34601.72,232924,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000138,Redbridge,14.3,,,29098.99,203497,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000140,Richmond,15.84,,,21965.41,138630,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000171,Southwark,18.35,,,41929.16,228542,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000179,Sutton,16,,,22534.87,140810,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000186,Tower Hamlets,15.38,,,31204.54,202884,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000192,Waltham Forest,15.46,,,29902.48,193479,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000193,Wandsworth,18.1,,,44013.15,243142,Persons,16-74 yrs,Value estimated,
E39000018,London,E38000202,West London (K&C & QPP),20.88,,,35967.45,172285,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000028,Cannock Chase,11.28,,,11138.43,98775,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000053,East Staffordshire,11.39,,,10285.98,90300,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000058,Erewash,12.06,,,8409.08,69728,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000071,Hardwick,11.87,,,9552.93,80476,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000103,Mansfield And Ashfield,13.03,,,18469.23,141722,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000109,Newark & Sherwood,13.38,,,11304.05,84488,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000115,North Derbyshire,12.09,,,24268.24,200790,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000126,North Staffordshire,12.69,,,20097.31,158407,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000132,Nottingham City,17.21,,,40313.24,234272,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000133,Nottingham North And East,13.68,,,14691.86,107415,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000134,Nottingham West,13.14,,,10799.42,82166,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000142,Rushcliffe,14.24,,,11511.25,80822,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000147,Shropshire,10.29,,,23172.79,225286,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000153,South East Staffs And Seisdon Peninsular,11.49,,,18908.42,164609,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000169,Southern Derbyshire,13.43,,,50375.65,375064,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000173,Stafford And Surrounds,11.22,,,12582.73,112176,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000175,Stoke On Trent,14.92,,,28182.68,188884,Persons,16-74 yrs,Value estimated,
E39000032,North Midlands,E38000183,Telford And Wrekin,14.2,,,17427,122718,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000003,Aylesbury Vale,11.44,,,16279.69,142265,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000009,Bath And North East Somerset,15.51,,,20409.41,131610,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000017,Bracknell And Ascot,15.15,,,14674.24,96844,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000033,Chiltern,11.53,,,26125.41,226591,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000062,Gloucestershire,15.61,,,68652.93,439885,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000110,Newbury And District,13.77,,,10494.36,76235,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000114,North & West Reading,14.1,,,10061.52,71381,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000136,Oxfordshire,12.96,,,61660.74,475691,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000148,Slough,14.1,,,14223.4,100901,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000160,South Reading,12.85,,,10511.8,81787,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000181,Swindon,16.11,,,25699.94,159520,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000206,Wiltshire,13.12,,,45068.96,343432,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000207,"Windsor, Ascot And Maidenhead",15.04,,,15234.57,101280,Persons,16-74 yrs,Value estimated,
E39000034,South Central,E38000209,Wokingham,14.51,,,16452.89,113382,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000002,Ashford,12.58,,,10786.3,85726,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000021,Brighton And Hove,17.25,,,36716.81,212798,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000029,Canterbury And Coastal,13.14,,,19398.03,147582,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000039,Crawley,12.75,,,10006.78,78486,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000043,"Dartford, Gravesham And Swanley",12,,,21626.24,180179,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000054,East Surrey,13.33,,,16833.66,126323,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000055,"Eastbourne, Hailsham And Seaford",12.38,,,15790.75,127515,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000076,Hastings And Rother,13.8,,,17844.04,129334,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000081,High Weald Lewes Havens,11.96,,,14418.33,120508,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000083,Horsham And Mid Sussex,12.79,,,20482.6,160166,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000104,Medway,15.76,,,31053.28,197082,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000128,North West Surrey,13.23,,,32288.32,244133,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000156,South Kent Coast,12.31,,,18069.79,146772,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000177,Surrey Downs,13.32,,,26708.61,200544,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000178,Surrey Heath,13.04,,,8916.3,68391,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000180,Swale,12.33,,,9676.81,78453,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000184,Thanet,13.3,,,12703.74,95481,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000199,West Kent,12.12,,,40194.68,331711,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000213,Coastal West Sussex,12.93,,,43743.14,338388,Persons,16-74 yrs,Value estimated,
E39000035,South East,E38000214,Guildford and Waverley,12.75,,,19010.28,149085,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000022,Bristol,20.69,,,66972.61,323709,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000089,Kernow,14.83,,,58426.29,393971,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000125,North Somerset,17.13,,,25072.4,146343,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000129,"Northern, Eastern And Western Devon",16.55,,,105263.13,636030,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000150,Somerset,14.13,,,54351.19,384515,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000152,South Devon And Torbay,16.75,,,32931.29,196594,Persons,16-74 yrs,Value estimated,
E39000036,South West,E38000155,South Gloucestershire,13.58,,,26479.79,195036,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000045,Dorset,15.56,,,84218.07,541364,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000059,Fareham And Gosport,12.62,,,17918.65,141999,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000087,Isle Of Wight,13.02,,,13042.52,100189,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000118,North East Hampshire And Farnham,12.52,,,18832.52,150380,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000120,North Hampshire,12.13,,,19158.45,157941,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000137,Portsmouth,16.67,,,25872.97,155229,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000154,South Eastern Hampshire,12.39,,,18579.01,149984,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000167,Southampton,17.1,,,31104.55,181938,Persons,16-74 yrs,Value estimated,
E39000025,Wessex,E38000198,West Hampshire,12.39,,,48554.88,391797,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000012,Birmingham Crosscity,16.82,,,85539.3,508478,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000013,Birmingham South And Central,17.54,,,25135.51,143307,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000038,Coventry And Rugby,14.89,,,46063.52,309417,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000046,Dudley,15.01,,,34027.21,226650,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000078,Herefordshire,10.8,,,14519.94,134394,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000139,Redditch And Bromsgrove,11.3,,,14760.75,130637,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000144,Sandwell And West Birmingham,16.1,,,54406.23,337886,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000149,Solihull,14.6,,,21645.09,148296,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000164,South Warwickshire,11.63,,,22186.87,190807,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000166,South Worcestershire,11.87,,,25341.36,213456,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000191,Walsall,14.97,,,28832.98,192628,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000195,Warwickshire North,11.43,,,15843.66,138653,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000210,Wolverhampton,16.22,,,29277.35,180549,Persons,16-74 yrs,Value estimated,
E39000033,West Midlands,E38000211,Wyre Forest,12.61,,,9087.69,72078,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000001,"Airedale, Wharfdale And Craven",16.26,,,18212.86,112020,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000006,Barnsley,15.3,,,26315.94,171974,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000008,Bassetlaw,11.85,,,9885.56,83397,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000018,Bradford City,17.02,,,9620.47,56514,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000019,Bradford Districts,17.69,,,41377.43,233918,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000025,Calderdale,17.31,,,25922.16,149736,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000044,Doncaster,15.46,,,34151.69,220836,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000052,East Riding Of Yorkshire,12.33,,,28387.54,230323,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000064,Greater Huddersfield,16.14,,,28330.63,175564,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000069,"Hambleton, Richmondshire And Whitby",12.82,,,14557.93,113554,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000073,Harrogate And Rural District,13.36,,,15277.59,114349,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000085,Hull,19.46,,,37137.71,190885,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000094,Leeds North,19.2,,,27626.14,143888,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000095,Leeds South And East,18.78,,,32622.06,173732,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000096,Leeds West,18.15,,,44767.28,246633,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000119,North East Lincolnshire,15.72,,,18146.07,115444,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000121,North Kirklees,16.87,,,22493.74,133368,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000122,North Lincolnshire,11.34,,,13931.88,122849,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000141,Rotherham,15.54,,,29270.47,188340,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000145,Scarborough And Ryedale,13.25,,,10651.54,80415,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000146,Sheffield,16.08,,,66530.88,413810,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000188,Vale Of York,12.9,,,33354.44,258503,Persons,16-74 yrs,Value estimated,
E39000029,Yorkshire and Humber,E38000190,Wakefield,17.28,,,41782.93,241861,Persons,16-74 yrs,Value estimated,
