Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note,Recent Trend
E39000030,Central Midlands,E38000010,Bedfordshire,15.69,,,47931,305526,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000037,Corby,11.81,,,5430.07,45980,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000049,East And North Hertfordshire,16.24,,,63630.23,391865,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000051,East Leicestershire And Rutland,12.18,,,28277.03,232217,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000079,Herts Valleys,17.67,,,72041.63,407702,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000097,Leicester City,14.84,,,36008.88,242647,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000099,Lincolnshire East,11.32,,,18850.48,166455,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000100,Lincolnshire West,10.81,,,18334.08,169572,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000102,Luton,18.98,,,27833.05,146626,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000107,Milton Keynes,14.26,,,26723.92,187355,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000108,Nene,13.21,,,59893.63,453396,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000157,South Lincolnshire,11.06,,,11322.85,102422,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000165,South West Lincolnshire,11.21,,,9961.77,88891,Persons,16-74 yrs,Value estimated,
E39000030,Central Midlands,E38000201,West Leicestershire,11.64,,,32354.48,277904,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000056,Eastern Cheshire,14.28,,,20188.07,141356,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000068,Halton,19.82,,,18317.87,92422,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000091,Knowsley,25.51,,,27050.41,106039,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000101,Liverpool,23.95,,,86024.96,359124,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000151,South Cheshire,14.26,,,18550.91,130061,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000161,South Sefton,21.62,,,25224.07,116662,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000170,Southport And Formby,22.43,,,18153.08,80926,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000172,St Helens,20.99,,,27241.58,129763,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000189,Vale Royal,14.63,,,10950.68,74828,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000194,Warrington,17.47,,,26239.35,150190,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000196,West Cheshire,16.11,,,27078.71,168038,Persons,16-74 yrs,Value estimated,
E39000026,Cheshire and Merseyside,E38000208,Wirral,21.32,,,49165.42,230609,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000041,Cumbria,14.28,,,53155.27,372171,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000042,Darlington,13.49,,,10276.14,76158,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000047,"Durham Dales, Easington And Sedgefield",14.58,,,29274.35,200797,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000075,Hartlepool And Stockton-On-Tees,17.52,,,36355.83,207535,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000116,North Durham,14.27,,,26010.94,182283,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000127,North Tyneside,17.79,,,26380.36,148284,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000130,Northumberland,14.36,,,33423.13,232767,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000162,South Tees,19.02,,,37912.89,199378,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000163,South Tyneside,20.09,,,21948.74,109244,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000176,Sunderland,19.51,,,40055.49,205321,Persons,16-74 yrs,Value estimated,
E39000027,Cumbria and North East,E38000212,Newcastle And Gateshead,18.99,,,68748.4,362107,Persons,16-74 yrs,Aggregated from values for merged CCGs,
E39000031,East,E38000007,Basildon And Brentwood,17.92,,,32278.37,180154,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000026,Cambridgeshire and Peterborough,15.06,,,93934.35,623831,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000030,Castle Point And Rochford,17.61,,,22082.94,125418,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000063,Great Yarmouth And Waveney,17.82,,,27201.59,152664,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000086,Ipswich And East Suffolk,14.61,,,41619.52,284800,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000106,Mid Essex,14.16,,,39262.75,277334,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000117,North East Essex,15.62,,,35507.76,227386,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000124,North Norfolk,15.38,,,18567.45,120690,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000131,Norwich,15.55,,,22456.75,144377,Persons,16-74 yrs,Value estimated,
E39000031,East,E38000159,South Norfolk,15.11,,,25563.34,169229,Persons,16-74 yrs,Value estimated,
