Parent Code,Parent Name,Area Code,Area Name,Value
E39000035,South East,E38000029,NHS Canterbury And Coastal CCG,12.32798482
E39000031,East,E38000030,NHS Castle Point And Rochford CCG,0.496175266
E39000018,London,E38000031,NHS Central London (Westminster) CCG,1.737888974
E39000037,Greater Manchester,E38000032,NHS Central Manchester CCG,5.800501643
E39000034,South Central,E38000033,NHS Chiltern CCG,14.01744464
E39000038,Lancashire,E38000034,NHS Chorley And South Ribble CCG,5.077496995
E39000018,London,E38000035,NHS City And Hackney CCG,9.899193414
E39000030,Central Midlands,E38000037,NHS Corby CCG,9.08765028
E39000033,West Midlands,E38000038,NHS Coventry And Rugby CCG,6.857286119
E39000035,South East,E38000039,NHS Crawley CCG,0.72186877
E39000018,London,E38000040,NHS Croydon CCG,7.369083379
E39000027,Cumbria and North East,E38000041,NHS Cumbria CCG,2.758867804
E39000027,Cumbria and North East,E38000042,NHS Darlington CCG,6.868771876
E39000035,South East,E38000043,"NHS Dartford, Gravesham And Swanley CCG",15.49224503
E39000029,Yorkshire and Humber,E38000044,NHS Doncaster CCG,7.185808303
E39000025,Wessex,E38000045,NHS Dorset CCG,9.465288348
E39000033,West Midlands,E38000046,NHS Dudley CCG,3.706235498
E39000027,Cumbria and North East,E38000047,"NHS Durham Dales, Easington And Sedgefield CCG",7.751992555
E39000018,London,E38000048,NHS Ealing CCG,2.670906525
E39000030,Central Midlands,E38000049,NHS East And North Hertfordshire CCG,0.86038654
E39000038,Lancashire,E38000050,NHS East Lancashire CCG,11.10885838
E39000030,Central Midlands,E38000051,NHS East Leicestershire And Rutland CCG,8.735438824
E39000029,Yorkshire and Humber,E38000052,NHS East Riding Of Yorkshire CCG,6.915655674
E39000032,North Midlands,E38000053,NHS East Staffordshire CCG,3.298993358
E39000035,South East,E38000054,NHS East Surrey CCG,6.560452449
E39000035,South East,E38000055,"NHS Eastbourne, Hailsham And Seaford CCG",1.856329199
E39000026,Cheshire and Merseyside,E38000056,NHS Eastern Cheshire CCG,7.346811163
E39000018,London,E38000057,NHS Enfield CCG,6.344238117
E39000032,North Midlands,E38000058,NHS Erewash CCG,6.972025531
E39000025,Wessex,E38000059,NHS Fareham And Gosport CCG,11.74670911
E39000038,Lancashire,E38000060,NHS Fylde & Wyre CCG,7.574915703
E39000034,South Central,E38000062,NHS Gloucestershire CCG,7.483200601
E39000031,East,E38000063,NHS Great Yarmouth And Waveney CCG,3.29425964
E39000029,Yorkshire and Humber,E38000064,NHS Greater Huddersfield CCG,3.73730795
E39000038,Lancashire,E38000065,NHS Greater Preston CCG,5.077496995
E39000018,London,E38000066,NHS Greenwich CCG,1.809319955
E39000026,Cheshire and Merseyside,E38000068,NHS Halton CCG,6.017946621
E39000029,Yorkshire and Humber,E38000069,"NHS Hambleton, Richmondshire And Whitby CCG",4.987416885
E39000018,London,E38000070,NHS Hammersmith And Fulham CCG,3.089663505
E39000032,North Midlands,E38000071,NHS Hardwick CCG,6.972025531
E39000018,London,E38000072,NHS Haringey CCG,6.692269763
E39000029,Yorkshire and Humber,E38000073,NHS Harrogate And Rural District CCG,4.987416885
E39000018,London,E38000074,NHS Harrow CCG,2.941138363
E39000027,Cumbria and North East,E38000075,NHS Hartlepool And Stockton-On-Tees CCG,10.24062137
E39000035,South East,E38000076,NHS Hastings And Rother CCG,1.450200609
E39000018,London,E38000077,NHS Havering CCG,2.378294281
E39000033,West Midlands,E38000078,NHS Herefordshire CCG,8.152661463
E39000030,Central Midlands,E38000079,NHS Herts Valleys CCG,0.86038654
E39000037,Greater Manchester,E38000080,"NHS Heywood, Middleton And Rochdale CCG",2.830235492
E39000035,South East,E38000081,NHS High Weald Lewes Havens CCG,1.856329199
E39000018,London,E38000082,NHS Hillingdon CCG,2.596971121
E39000035,South East,E38000083,NHS Horsham And Mid Sussex CCG,0.72186877
E39000018,London,E38000084,NHS Hounslow CCG,4.976052971
E39000029,Yorkshire and Humber,E38000085,NHS Hull CCG,4.066280098
E39000031,East,E38000086,NHS Ipswich And East Suffolk CCG,6.603143018
E39000025,Wessex,E38000087,NHS Isle Of Wight CCG,4.662502349
E39000018,London,E38000088,NHS Islington CCG,7.963117042
E39000036,South West,E38000089,NHS Kernow CCG,3.551819496
E39000018,London,E38000090,NHS Kingston CCG,5.754743591
E39000026,Cheshire and Merseyside,E38000091,NHS Knowsley CCG,3.89053107
E39000018,London,E38000092,NHS Lambeth CCG,5.022118512
E39000038,Lancashire,E38000093,NHS Lancashire North CCG,7.574915703
E39000029,Yorkshire and Humber,E38000094,NHS Leeds North CCG,1.664737506
E39000029,Yorkshire and Humber,E38000095,NHS Leeds South And East CCG,1.664737506
E39000029,Yorkshire and Humber,E38000096,NHS Leeds West CCG,1.664737506
E39000030,Central Midlands,E38000097,NHS Leicester City CCG,3.900639695
E39000018,London,E38000098,NHS Lewisham CCG,2.109895017
E39000030,Central Midlands,E38000099,NHS Lincolnshire East CCG,9.451713501
E39000030,Central Midlands,E38000100,NHS Lincolnshire West CCG,9.451713501
E39000026,Cheshire and Merseyside,E38000101,NHS Liverpool CCG,6.226329186
E39000030,Central Midlands,E38000102,NHS Luton CCG,11.1306785
E39000032,North Midlands,E38000103,NHS Mansfield And Ashfield CCG,6.223652816
E39000035,South East,E38000104,NHS Medway CCG,8.095027325
E39000018,London,E38000105,NHS Merton CCG,3.325186665
E39000031,East,E38000106,NHS Mid Essex CCG,7.564890353
E39000030,Central Midlands,E38000107,NHS Milton Keynes CCG,9.962988263
E39000030,Central Midlands,E38000108,NHS Nene CCG,9.08765028
E39000032,North Midlands,E38000109,NHS Newark & Sherwood CCG,6.223652816
E39000034,South Central,E38000110,NHS Newbury And District CCG,8.191996575
E39000018,London,E38000113,NHS Newham CCG,10.53757967
E39000034,South Central,E38000114,NHS North & West Reading CCG,8.191996575
E39000032,North Midlands,E38000115,NHS North Derbyshire CCG,6.972025531
E39000027,Cumbria and North East,E38000116,NHS North Durham CCG,7.751992555
E39000031,East,E38000117,NHS North East Essex CCG,8.833879627
E39000025,Wessex,E38000118,NHS North East Hampshire And Farnham CCG,11.74670911
E39000029,Yorkshire and Humber,E38000119,NHS North East Lincolnshire CCG,10.75117627
E39000025,Wessex,E38000120,NHS North Hampshire CCG,11.74670911
E39000029,Yorkshire and Humber,E38000121,NHS North Kirklees CCG,3.73730795
E39000029,Yorkshire and Humber,E38000122,NHS North Lincolnshire CCG,10.75584189
E39000037,Greater Manchester,E38000123,NHS North Manchester CCG,5.800501643
E39000031,East,E38000124,NHS North Norfolk CCG,5.601297747
E39000036,South West,E38000125,NHS North Somerset CCG,2.696005939
E39000032,North Midlands,E38000126,NHS North Staffordshire CCG,7.820619418
E39000027,Cumbria and North East,E38000127,NHS North Tyneside CCG,7.502931156
E39000035,South East,E38000128,NHS North West Surrey CCG,6.560452449
E39000036,South West,E38000129,"NHS Northern, Eastern And Western Devon CCG",3.45246888
E39000027,Cumbria and North East,E38000130,NHS Northumberland CCG,11.58496405
E39000031,East,E38000131,NHS Norwich CCG,5.601297747
E39000032,North Midlands,E38000132,NHS Nottingham City CCG,3.148030931
E39000032,North Midlands,E38000133,NHS Nottingham North And East CCG,6.223652816
E39000032,North Midlands,E38000134,NHS Nottingham West CCG,6.223652816
E39000037,Greater Manchester,E38000135,NHS Oldham CCG,7.09743336
E39000034,South Central,E38000136,NHS Oxfordshire CCG,7.194663876
E39000025,Wessex,E38000137,NHS Portsmouth CCG,6.065705295
E39000018,London,E38000138,NHS Redbridge CCG,1.886458231
E39000033,West Midlands,E38000139,NHS Redditch And Bromsgrove CCG,9.10884167
E39000018,London,E38000140,NHS Richmond CCG,6.697110429
E39000029,Yorkshire and Humber,E38000141,NHS Rotherham CCG,9.448289407
E39000032,North Midlands,E38000142,NHS Rushcliffe CCG,6.223652816
E39000037,Greater Manchester,E38000143,NHS Salford CCG,2.954751932
E39000033,West Midlands,E38000144,NHS Sandwell And West Birmingham CCG,10.76544701
E39000029,Yorkshire and Humber,E38000145,NHS Scarborough And Ryedale CCG,4.987416885
E39000029,Yorkshire and Humber,E38000146,NHS Sheffield CCG,7.900911222
E39000032,North Midlands,E38000147,NHS Shropshire CCG,7.693890685
E39000034,South Central,E38000148,NHS Slough CCG,7.027467263
E39000033,West Midlands,E38000149,NHS Solihull CCG,14.4189038
E39000036,South West,E38000150,NHS Somerset CCG,5.326906716
E39000026,Cheshire and Merseyside,E38000151,NHS South Cheshire CCG,7.346811163
E39000036,South West,E38000152,NHS South Devon And Torbay CCG,6.655616527
E39000032,North Midlands,E38000153,NHS South East Staffs And Seisdon Peninsular CCG,3.298993358
E39000025,Wessex,E38000154,NHS South Eastern Hampshire CCG,11.74670911
E39000036,South West,E38000155,NHS South Gloucestershire CCG,1.446362359
E39000035,South East,E38000156,NHS South Kent Coast CCG,12.32798482
E39000030,Central Midlands,E38000157,NHS South Lincolnshire CCG,9.451713501
E39000037,Greater Manchester,E38000158,NHS South Manchester CCG,5.800501643
E39000031,East,E38000159,NHS South Norfolk CCG,5.601297747
E39000034,South Central,E38000160,NHS South Reading CCG,8.191996575
E39000026,Cheshire and Merseyside,E38000161,NHS South Sefton CCG,4.855726478
E39000027,Cumbria and North East,E38000162,NHS South Tees CCG,9.423957012
E39000027,Cumbria and North East,E38000163,NHS South Tyneside CCG,5.980254472
E39000033,West Midlands,E38000164,NHS South Warwickshire CCG,6.003847115
E39000030,Central Midlands,E38000165,NHS South West Lincolnshire CCG,9.451713501
E39000033,West Midlands,E38000166,NHS South Worcestershire CCG,9.10884167
E39000025,Wessex,E38000167,NHS Southampton CCG,9.000496249
E39000031,East,E38000168,NHS Southend CCG,0.496175266
E39000032,North Midlands,E38000169,NHS Southern Derbyshire CCG,1.337592319
E39000026,Cheshire and Merseyside,E38000170,NHS Southport And Formby CCG,4.855726478
E39000018,London,E38000171,NHS Southwark CCG,4.121815429
E39000026,Cheshire and Merseyside,E38000172,NHS St Helens CCG,6.017946621
E39000032,North Midlands,E38000173,NHS Stafford And Surrounds CCG,3.298993358
E39000037,Greater Manchester,E38000174,NHS Stockport CCG,2.590653347
E39000032,North Midlands,E38000175,NHS Stoke On Trent CCG,6.875525753
E39000027,Cumbria and North East,E38000176,NHS Sunderland CCG,5.994350558
E39000035,South East,E38000177,NHS Surrey Downs CCG,6.560452449
E39000035,South East,E38000178,NHS Surrey Heath CCG,6.560452449
E39000018,London,E38000179,NHS Sutton CCG,3.325186665
E39000035,South East,E38000180,NHS Swale CCG,12.32798482
E39000034,South Central,E38000181,NHS Swindon CCG,7.586170128
E39000037,Greater Manchester,E38000182,NHS Tameside And Glossop CCG,6.575598989
E39000032,North Midlands,E38000183,NHS Telford And Wrekin CCG,3.886331401
E39000035,South East,E38000184,NHS Thanet CCG,12.32798482
E39000031,East,E38000185,NHS Thurrock CCG,0.926788951
E39000018,London,E38000186,NHS Tower Hamlets CCG,8.659951245
E39000037,Greater Manchester,E38000187,NHS Trafford CCG,3.960777573
E39000029,Yorkshire and Humber,E38000188,NHS Vale Of York CCG,4.987416885
E39000026,Cheshire and Merseyside,E38000189,NHS Vale Royal CCG,7.346811163
E39000029,Yorkshire and Humber,E38000190,NHS Wakefield CCG,8.740221497
E39000033,West Midlands,E38000191,NHS Walsall CCG,7.981957574
E39000018,London,E38000192,NHS Waltham Forest CCG,1.669079131
E39000018,London,E38000193,NHS Wandsworth CCG,5.777841094
E39000026,Cheshire and Merseyside,E38000194,NHS Warrington CCG,8.731652404
E39000033,West Midlands,E38000195,NHS Warwickshire North CCG,6.003847115
E39000026,Cheshire and Merseyside,E38000196,NHS West Cheshire CCG,5.926273492
E39000031,East,E38000197,NHS West Essex CCG,12.4140099
E39000025,Wessex,E38000198,NHS West Hampshire CCG,11.74670911
E39000035,South East,E38000199,NHS West Kent CCG,15.49224503
E39000038,Lancashire,E38000200,NHS West Lancashire CCG,5.077496995
E39000030,Central Midlands,E38000201,NHS West Leicestershire CCG,8.735438824
E39000018,London,E38000202,NHS West London (K&C & QPP) CCG,3.134441962
E39000031,East,E38000203,NHS West Norfolk CCG,5.601297747
E39000031,East,E38000204,NHS West Suffolk CCG,6.603143018
E39000037,Greater Manchester,E38000205,NHS Wigan Borough CCG,5.347917422
E39000034,South Central,E38000206,NHS Wiltshire CCG,10.48701247
E39000034,South Central,E38000207,"NHS Windsor, Ascot And Maidenhead CCG",7.027467263
E39000026,Cheshire and Merseyside,E38000208,NHS Wirral CCG,9.42199002
E39000034,South Central,E38000209,NHS Wokingham CCG,8.191996575
E39000033,West Midlands,E38000210,NHS Wolverhampton CCG,5.177298323
E39000033,West Midlands,E38000211,NHS Wyre Forest CCG,9.10884167
E39000035,South East,E38000213,NHS Coastal West Sussex CCG,0.72186877
E39000035,South East,E38000214,NHS Guildford and Waverley CCG,6.560452449
