Parent Code,Parent Name,Area Code,Area Name,Value
E39000029,Yorkshire and Humber,E38000001,"NHS Airedale, Wharfdale And Craven CCG",6.952017461
E39000035,South East,E38000002,NHS Ashford CCG,12.32798482
E39000034,South Central,E38000003,NHS Aylesbury Vale CCG,14.01744464
E39000018,London,E38000004,NHS Barking And Dagenham CCG,2.035445016
E39000018,London,E38000005,NHS Barnet CCG,5.243572371
E39000029,Yorkshire and Humber,E38000006,NHS Barnsley CCG,3.446531609
E39000031,East,E38000007,NHS Basildon And Brentwood CCG,0.926788951
E39000029,Yorkshire and Humber,E38000008,NHS Bassetlaw CCG,8.23830405
E39000034,South Central,E38000009,NHS Bath And North East Somerset CCG,8.641614205
E39000030,Central Midlands,E38000010,NHS Bedfordshire CCG,4.59221194
E39000018,London,E38000011,NHS Bexley CCG,2.685440419
E39000033,West Midlands,E38000012,NHS Birmingham Crosscity CCG,4.403175845
E39000033,West Midlands,E38000013,NHS Birmingham South And Central CCG,3.151305214
E39000038,Lancashire,E38000014,NHS Blackburn With Darwen CCG,6.044879134
E39000038,Lancashire,E38000015,NHS Blackpool CCG,2.278345707
E39000037,Greater Manchester,E38000016,NHS Bolton CCG,14.46439145
E39000034,South Central,E38000017,NHS Bracknell And Ascot CCG,7.027467263
E39000029,Yorkshire and Humber,E38000018,NHS Bradford City CCG,6.952017461
E39000029,Yorkshire and Humber,E38000019,NHS Bradford Districts CCG,6.952017461
E39000018,London,E38000020,NHS Brent CCG,3.022932215
E39000035,South East,E38000021,NHS Brighton And Hove CCG,6.42293718
E39000036,South West,E38000022,NHS Bristol CCG,0.378017233
E39000018,London,E38000023,NHS Bromley CCG,2.938610575
E39000037,Greater Manchester,E38000024,NHS Bury CCG,2.013079114
E39000029,Yorkshire and Humber,E38000025,NHS Calderdale CCG,4.503749643
E39000031,East,E38000026,NHS Cambridgeshire and Peterborough CCG,9.875224317
E39000018,London,E38000027,NHS Camden CCG,8.374157636
E39000032,North Midlands,E38000028,NHS Cannock Chase CCG,3.298993358
