NHSRLO17CD,NHSRLO17NM,Ethnicity,Population,Count,Rate
E39000033,West Midlands,Mixed,112600,2215,1967.1
E39000033,West Midlands,Other ethnic groups,45400,2035,4482.4
E39000033,West Midlands,Total for Black and Minority Ethnic groups,884600,20510,2318.6
E39000033,West Midlands,White,3147200,96530,3067.2
E39000034,South Central,Asian or Asian British,224400,2525,1125.2
E39000034,South Central,Black or black British,64700,1135,1754.3
E39000034,South Central,Grand total ,3479300,91115,2618.8
E39000034,South Central,Mixed,69500,835,1201.4
E39000034,South Central,Other ethnic groups,17900,1600,8938.5
E39000034,South Central,Total for Black and Minority Ethnic groups,376400,6085,1616.6
E39000034,South Central,White,3103000,68535,2208.7
E39000035,South East,Asian or Asian British,171100,1645,961.4
E39000035,South East,Black or black British,49400,985,1993.9
E39000035,South East,Grand total ,4414000,137095,3105.9
E39000035,South East,Mixed,79900,1055,1320.4
E39000035,South East,Other ethnic groups,26000,935,3596.2
E39000035,South East,Total for Black and Minority Ethnic groups,326400,4635,1420
E39000035,South East,White,4087700,107830,2637.9
E39000036,South West,Asian or Asian British,54700,625,1142.6
E39000036,South West,Black or black British,33600,775,2306.5
E39000036,South West,Grand total ,3091800,97635,3157.9
E39000036,South West,Mixed,40900,665,1625.9
E39000036,South West,Other ethnic groups,9400,645,6861.7
E39000036,South West,Total for Black and Minority Ethnic groups,139000,2705,1946
E39000036,South West,White,2952800,79685,2698.6
E39000039,Cumbria and North East,Asian or Asian British,78700,1210,1537.5
E39000039,Cumbria and North East,Black or black British,13800,325,2355.1
E39000039,Cumbria and North East,Grand total ,3102700,115950,3737.1
E39000039,Cumbria and North East,Mixed,24900,425,1706.8
E39000039,Cumbria and North East,Other ethnic groups,11600,415,3577.6
E39000039,Cumbria and North East,Total for Black and Minority Ethnic groups,129000,2370,1837.2
E39000039,Cumbria and North East,White,2973900,103270,3472.5
E39000040,Lancashire and South Cumbria,Asian or Asian British,115000,1925,1673.9
E39000040,Lancashire and South Cumbria,Black or black British,5400,0,0
E39000040,Lancashire and South Cumbria,Grand total ,1460900,64625,4423.6
E39000040,Lancashire and South Cumbria,Mixed,16400,300,1829.3
E39000040,Lancashire and South Cumbria,Other ethnic groups,4300,275,6395.3
E39000040,Lancashire and South Cumbria,Total for Black and Minority Ethnic groups,140800,2690,1910.5
E39000040,Lancashire and South Cumbria,White,1319900,47835,3624.1
E39000037,Greater Manchester,Asian or Asian British,272400,4855,1782.3
E39000037,Greater Manchester,Black or black British,74300,1920,2584.1
E39000037,Greater Manchester,Grand total ,2715700,117030,4309.4
E39000037,Greater Manchester,Mixed,61200,1205,1969
E39000037,Greater Manchester,Other ethnic groups,27500,1190,4327.3
E39000037,Greater Manchester,Total for Black and Minority Ethnic groups,435200,9160,2104.8
E39000037,Greater Manchester,White,2280200,86415,3789.8
E39000028,Lancashire and Greater Manchester,Asian or Asian British,82400,1805,2190.53398058252
E39000028,Lancashire and Greater Manchester,Black or black British,4476300,141580,3162.88005719009
E39000028,Lancashire and Greater Manchester,Grand total ,4154400,108875,2620.71538609667
E39000028,Lancashire and Greater Manchester,Mixed,71700,1465,2043.23570432357
E39000028,Lancashire and Greater Manchester,Other ethnic groups,294700,4765,1616.89854088904
E39000028,Lancashire and Greater Manchester,Total for Black and Minority Ethnic groups,6980400,194950,2792.81989570798
E39000028,Lancashire and Greater Manchester,White,185700,3420,1841.68012924071
